fire_id,fire_name,closest_weather_id,distance
CZU,San Mateo - Santa Cruz CAL FIRE,USC00046642,0.02597233705310126
SPR,San Pablo Bay National Wildlife Refuge,USC00042580,0.09240233435390531
SBC,Santa Barbara County,USR0000CFIG,0.028531093037072176
SCU,Santa Clara CAL FIRE,US1CASC0006,0.018946188506399887
SMP,Santa Monica Mtns National Recreation Area,USC00047950,0.006569294102113738
SQF,Sequoia National Forest,USC00044518,0.07866120377620114
SHF,Shasta-Trinity National Forest,USC00049083,0.0811472972848281
SHU,Shasta - Trinity CAL FIRE,USC00048135,0.04042525420823399
SNF,Sierra National Forest,USC00044176,0.08923646108626845
SKU,Siskiyou CAL FIRE,USR0000CWEE,0.09304921807355648
SRF,Six Rivers National Forest,US1CAHM0144,0.09639864450832364
SOR,Sonny Bono Salton Sea National Wildlife Refuge,USW00093118,0.16857018615698094
LNU,Sonoma - Lake - Napa CAL FIRE,US1CALK0018,0.049680407929821854
STF,Stanislaus National Forest,USC00041906,0.052346233553614195
SKR,Stone Lakes National Wildlife Refuge,USC00041784,0.060407490559528654
STR,Sutter National Wildlife Refuge,US1CASU0005,0.0768133094515528
TNF,Tahoe National Forest,USC00041018,0.07978043104585529
TGU,Tehama - Glenn CAL FIRE,USC00042027,0.030568798575834166
TUU,Tulare CAL FIRE,USR0000CMIO,0.08236580454637447
TKR,Tule Lake National Wildlife Refuge,USC00049053,0.074520690599591
TIA,Tule River Agency,USC00042269,0.07440507060678381
TCU,Tuolumne - Calaveras CAL FIRE,USC00046172,0.08326731396054098
VLJ,Vallejo Fire Dept.,USC00045333,0.045434530183545555
AFV,Vandenberg Air Force Base,USW00093214,0.02687959115876581
VNC,Ventura County,US1CAVT0031,0.06719145871202434
YNP,Yosemite National Park,USC00049855,0.11525904403720921
