US1CAVT0014,20130318,PRCP,0,Unnamed: 4,Unnamed: 5,N,0700
US1CAVT0014,20140802,DAPR,6,,,N,700
US1CAVT0014,20140802,MDPR,0,,,N,700
US1CAVT0014,20141005,DAPR,62,,L,N,700
US1CAVT0014,20141005,MDPR,0,,L,N,700
US1CAVT0014,20141101,PRCP,124,,,N,900
US1CAVT0014,20141121,PRCP,5,,,N,700
US1CAVT0014,20141201,PRCP,61,,,N,700
US1CAVT0014,20141202,PRCP,13,,,N,700
US1CAVT0014,20141203,PRCP,384,,,N,700
US1CAVT0014,20141204,PRCP,48,,,N,700
US1CAVT0014,20141212,PRCP,556,,,N,700
US1CAVT0014,20141213,PRCP,18,,,N,700
US1CAVT0014,20141216,PRCP,46,,,N,738
US1CAVT0014,20141217,PRCP,69,,,N,700
US1CAVT0014,20150110,PRCP,5,,,N,958
US1CAVT0014,20150111,PRCP,373,,,N,1251
US1CAVT0014,20150112,PRCP,3,,,N,700
US1CAVT0014,20150127,PRCP,58,,,N,700
US1CAVT0014,20150109,DAPR,8,,,N,700
US1CAVT0014,20150126,DAPR,14,,,N,700
US1CAVT0014,20150109,MDPR,0,,,N,700
US1CAVT0014,20150126,MDPR,0,,,N,700
US1CAVT0014,20150210,PRCP,0,,,N,700
US1CAVT0014,20150211,PRCP,0,,,N,700
US1CAVT0014,20150212,PRCP,0,,,N,700
US1CAVT0014,20150213,PRCP,0,,,N,700
US1CAVT0014,20150214,PRCP,0,,,N,700
US1CAVT0014,20150215,PRCP,0,,,N,700
US1CAVT0014,20150216,PRCP,0,,,N,700
US1CAVT0014,20150217,PRCP,0,,,N,700
US1CAVT0014,20150218,PRCP,0,,,N,700
US1CAVT0014,20150219,PRCP,0,,,N,700
US1CAVT0014,20150220,PRCP,0,,,N,700
US1CAVT0014,20150221,PRCP,0,,,N,700
US1CAVT0014,20150222,PRCP,8,,,N,700
US1CAVT0014,20150223,PRCP,71,,,N,700
US1CAVT0014,20150224,PRCP,5,,,N,700
US1CAVT0014,20150225,PRCP,0,,,N,700
US1CAVT0014,20150226,PRCP,0,,,N,700
US1CAVT0014,20150227,PRCP,0,,,N,700
US1CAVT0014,20150228,PRCP,0,,,N,700
US1CAVT0014,20150210,SNOW,0,,,N,700
US1CAVT0014,20150211,SNOW,0,,,N,700
US1CAVT0014,20150212,SNOW,0,,,N,700
US1CAVT0014,20150213,SNOW,0,,,N,700
US1CAVT0014,20150214,SNOW,0,,,N,700
US1CAVT0014,20150215,SNOW,0,,,N,700
US1CAVT0014,20150216,SNOW,0,,,N,700
US1CAVT0014,20150217,SNOW,0,,,N,700
US1CAVT0014,20150218,SNOW,0,,,N,700
US1CAVT0014,20150219,SNOW,0,,,N,700
US1CAVT0014,20150220,SNOW,0,,,N,700
US1CAVT0014,20150221,SNOW,0,,,N,700
US1CAVT0014,20150225,SNOW,0,,,N,700
US1CAVT0014,20150226,SNOW,0,,,N,700
US1CAVT0014,20150227,SNOW,0,,,N,700
US1CAVT0014,20150228,SNOW,0,,,N,700
US1CAVT0014,20150206,DAPR,10,,,N,700
US1CAVT0014,20150209,DAPR,3,,,N,700
US1CAVT0014,20150206,MDPR,0,,,N,700
US1CAVT0014,20150209,MDPR,46,,,N,700
US1CAVT0014,20150301,PRCP,76,,,N,700
US1CAVT0014,20150307,DAPR,6,,,N,700
US1CAVT0014,20150307,MDPR,124,,,N,700
US1CAVT0014,20150424,PRCP,5,,,N,700
US1CAVT0014,20150423,DAPR,47,,L,N,700
US1CAVT0014,20150423,MDPR,0,,L,N,700
US1CAVT0014,20150508,PRCP,8,,,N,700
US1CAVT0014,20150509,PRCP,3,,,N,700
US1CAVT0014,20150515,PRCP,8,,,N,700
US1CAVT0014,20150507,DAPR,13,,,N,700
US1CAVT0014,20150514,DAPR,5,,,N,700
US1CAVT0014,20150507,MDPR,0,,,N,700
US1CAVT0014,20150514,MDPR,0,,,N,700
US1CAVT0014,20150609,PRCP,3,,,N,700
US1CAVT0014,20150610,PRCP,38,,,N,700
US1CAVT0014,20150608,DAPR,24,,,N,700
US1CAVT0014,20150630,DAPR,20,,,N,700
US1CAVT0014,20150608,MDPR,0,,,N,700
US1CAVT0014,20150630,MDPR,0,,,N,700
US1CAVT0014,20150701,PRCP,0,,,N,700
US1CAVT0014,20150702,PRCP,0,,,N,700
US1CAVT0014,20150703,PRCP,0,,,N,700
US1CAVT0014,20150704,PRCP,0,,,N,700
US1CAVT0014,20150705,PRCP,0,,,N,700
US1CAVT0014,20150706,PRCP,0,,,N,700
US1CAVT0014,20150707,PRCP,0,,,N,700
US1CAVT0014,20150708,PRCP,0,,,N,700
US1CAVT0014,20150709,PRCP,0,,,N,700
US1CAVT0014,20150710,PRCP,0,,,N,700
US1CAVT0014,20150711,PRCP,0,,,N,700
US1CAVT0014,20150712,PRCP,0,,,N,700
US1CAVT0014,20150713,PRCP,0,,,N,700
US1CAVT0014,20150714,PRCP,0,,,N,700
US1CAVT0014,20150715,PRCP,0,,,N,700
US1CAVT0014,20150716,PRCP,0,,,N,700
US1CAVT0014,20150717,PRCP,0,,,N,700
US1CAVT0014,20150718,PRCP,0,,,N,700
US1CAVT0014,20150719,PRCP,122,,,N,700
US1CAVT0014,20150720,PRCP,89,,,N,700
US1CAVT0014,20150721,PRCP,3,,,N,700
US1CAVT0014,20150722,PRCP,3,,,N,700
US1CAVT0014,20150723,PRCP,0,,,N,700
US1CAVT0014,20150724,PRCP,0,,,N,700
US1CAVT0014,20150725,PRCP,0,,,N,700
US1CAVT0014,20150726,PRCP,0,,,N,700
US1CAVT0014,20150727,PRCP,0,,,N,700
US1CAVT0014,20150728,PRCP,0,,,N,700
US1CAVT0014,20150729,PRCP,0,,,N,700
US1CAVT0014,20150730,PRCP,0,,,N,700
US1CAVT0014,20150731,PRCP,0,,,N,700
US1CAVT0014,20150801,PRCP,0,,,N,700
US1CAVT0014,20150802,PRCP,0,,,N,700
US1CAVT0014,20150803,PRCP,0,,,N,700
US1CAVT0014,20150804,PRCP,0,,,N,700
US1CAVT0014,20150805,PRCP,0,,,N,700
US1CAVT0014,20150806,PRCP,0,,,N,700
US1CAVT0014,20150807,PRCP,0,,,N,700
US1CAVT0014,20150808,PRCP,0,,,N,700
US1CAVT0014,20150809,PRCP,0,,,N,700
US1CAVT0014,20150810,PRCP,0,,,N,700
US1CAVT0014,20150811,PRCP,0,,,N,700
US1CAVT0014,20150812,PRCP,0,,,N,700
US1CAVT0014,20150813,PRCP,0,,,N,700
US1CAVT0014,20150814,PRCP,0,,,N,700
US1CAVT0014,20150815,PRCP,0,,,N,700
US1CAVT0014,20150816,PRCP,0,,,N,700
US1CAVT0014,20150817,PRCP,0,,,N,700
US1CAVT0014,20150818,PRCP,0,,,N,700
US1CAVT0014,20150819,PRCP,0,,,N,700
US1CAVT0014,20150820,PRCP,0,,,N,700
US1CAVT0014,20150821,PRCP,0,,,N,700
US1CAVT0014,20150822,PRCP,0,,,N,700
US1CAVT0014,20150823,PRCP,0,,,N,700
US1CAVT0014,20150824,PRCP,0,,,N,700
US1CAVT0014,20150825,PRCP,0,,,N,700
US1CAVT0014,20150826,PRCP,0,,,N,700
US1CAVT0014,20150827,PRCP,0,,,N,700
US1CAVT0014,20150828,PRCP,0,,,N,700
US1CAVT0014,20150829,PRCP,0,,,N,700
US1CAVT0014,20150830,PRCP,0,,,N,700
US1CAVT0014,20150831,PRCP,0,,,N,700
US1CAVT0014,20150901,PRCP,0,,,N,700
US1CAVT0014,20150902,PRCP,0,,,N,700
US1CAVT0014,20150903,PRCP,0,,,N,700
US1CAVT0014,20150904,PRCP,0,,,N,700
US1CAVT0014,20150905,PRCP,0,,,N,700
US1CAVT0014,20150906,PRCP,0,,,N,700
US1CAVT0014,20150907,PRCP,0,,,N,700
US1CAVT0014,20150908,PRCP,0,,,N,700
US1CAVT0014,20150909,PRCP,0,,,N,700
US1CAVT0014,20150910,PRCP,0,,,N,700
US1CAVT0014,20150911,PRCP,0,,,N,700
US1CAVT0014,20150912,PRCP,0,,,N,700
US1CAVT0014,20150913,PRCP,0,,,N,700
US1CAVT0014,20150914,PRCP,0,,,N,700
US1CAVT0014,20150915,PRCP,178,,,N,700
US1CAVT0014,20150916,PRCP,8,,,N,700
US1CAVT0014,20150917,PRCP,0,,,N,700
US1CAVT0014,20150918,PRCP,0,,,N,700
US1CAVT0014,20150919,PRCP,0,,,N,700
US1CAVT0014,20150920,PRCP,0,,,N,700
US1CAVT0014,20150921,PRCP,0,,,N,700
US1CAVT0014,20150922,PRCP,0,,,N,700
US1CAVT0014,20150923,PRCP,0,,,N,700
US1CAVT0014,20150924,PRCP,0,,,N,700
US1CAVT0014,20150925,PRCP,0,,,N,700
US1CAVT0014,20150926,PRCP,0,,,N,700
US1CAVT0014,20150927,PRCP,0,,,N,700
US1CAVT0014,20150928,PRCP,0,,,N,700
US1CAVT0014,20150929,PRCP,0,,,N,700
US1CAVT0014,20150930,PRCP,0,,,N,700
US1CAVT0014,20151001,PRCP,0,,,N,700
US1CAVT0014,20151002,PRCP,0,,,N,700
US1CAVT0014,20151003,PRCP,0,,,N,700
US1CAVT0014,20151004,PRCP,20,,,N,700
US1CAVT0014,20151005,PRCP,13,,,N,700
US1CAVT0014,20151006,PRCP,0,,,N,700
US1CAVT0014,20151007,PRCP,0,,,N,700
US1CAVT0014,20151008,PRCP,0,,,N,700
US1CAVT0014,20151009,PRCP,0,,,N,700
US1CAVT0014,20151010,PRCP,0,,,N,700
US1CAVT0014,20151011,PRCP,0,,,N,700
US1CAVT0014,20151012,PRCP,0,,,N,700
US1CAVT0014,20151013,PRCP,0,,,N,700
US1CAVT0014,20151014,PRCP,0,,,N,700
US1CAVT0014,20151015,PRCP,0,,,N,700
US1CAVT0014,20151016,PRCP,0,,,N,700
US1CAVT0014,20151017,PRCP,0,,,N,700
US1CAVT0014,20151018,PRCP,0,,,N,700
US1CAVT0014,20151019,PRCP,0,,,N,700
US1CAVT0014,20151020,PRCP,0,,,N,700
US1CAVT0014,20151021,PRCP,0,,,N,700
US1CAVT0014,20151022,PRCP,0,,,N,700
US1CAVT0014,20151023,PRCP,0,,,N,700
US1CAVT0014,20151024,PRCP,0,,,N,700
US1CAVT0014,20151025,PRCP,0,,,N,700
US1CAVT0014,20151026,PRCP,0,,,N,700
US1CAVT0014,20151027,PRCP,0,,,N,700
US1CAVT0014,20151028,PRCP,0,,,N,700
US1CAVT0014,20151029,PRCP,0,,,N,700
US1CAVT0014,20151030,PRCP,0,,,N,700
US1CAVT0014,20151031,PRCP,0,,,N,700
US1CAVT0014,20151101,PRCP,0,,,N,700
US1CAVT0014,20151102,PRCP,0,,,N,700
US1CAVT0014,20151103,PRCP,8,,,N,700
US1CAVT0014,20151104,PRCP,3,,,N,700
US1CAVT0014,20151105,PRCP,0,,,N,700
US1CAVT0014,20151106,PRCP,0,,,N,700
US1CAVT0014,20151107,PRCP,0,,,N,700
US1CAVT0014,20151108,PRCP,0,,,N,700
US1CAVT0014,20151109,PRCP,0,,,N,700
US1CAVT0014,20151110,PRCP,0,,,N,700
US1CAVT0014,20151111,PRCP,0,,,N,700
US1CAVT0014,20151112,PRCP,0,,,N,700
US1CAVT0014,20151113,PRCP,0,,,N,700
US1CAVT0014,20151114,PRCP,0,,,N,700
US1CAVT0014,20151115,PRCP,0,,,N,700
US1CAVT0014,20151116,PRCP,5,,,N,700
US1CAVT0014,20151117,PRCP,0,,,N,700
US1CAVT0014,20151118,PRCP,0,,,N,700
US1CAVT0014,20151119,PRCP,0,,,N,700
US1CAVT0014,20151120,PRCP,0,,,N,700
US1CAVT0014,20151121,PRCP,0,,,N,700
US1CAVT0014,20151122,PRCP,0,,,N,700
US1CAVT0014,20151123,PRCP,0,,,N,700
US1CAVT0014,20151124,PRCP,0,,,N,700
US1CAVT0014,20151125,PRCP,5,,,N,700
US1CAVT0014,20151126,PRCP,0,,,N,700
US1CAVT0014,20151127,PRCP,0,,,N,700
US1CAVT0014,20151128,PRCP,0,,,N,700
US1CAVT0014,20151129,PRCP,0,,,N,700
US1CAVT0014,20151130,PRCP,0,,,N,700
US1CAVT0014,20151124,SNOW,0,,,N,700
US1CAVT0014,20151201,PRCP,0,,,N,700
US1CAVT0014,20151202,PRCP,0,,,N,700
US1CAVT0014,20151203,PRCP,0,,,N,700
US1CAVT0014,20151204,PRCP,0,,,N,700
US1CAVT0014,20151205,PRCP,0,,,N,700
US1CAVT0014,20151206,PRCP,0,,,N,700
US1CAVT0014,20151207,PRCP,0,,,N,700
US1CAVT0014,20151208,PRCP,0,,,N,700
US1CAVT0014,20151209,PRCP,0,,,N,700
US1CAVT0014,20151210,PRCP,0,,,N,700
US1CAVT0014,20151211,PRCP,0,,,N,700
US1CAVT0014,20151212,PRCP,0,,,N,700
US1CAVT0014,20151213,PRCP,0,,,N,700
US1CAVT0014,20151214,PRCP,28,,,N,700
US1CAVT0014,20151215,PRCP,0,,,N,700
US1CAVT0014,20151216,PRCP,0,,,N,700
US1CAVT0014,20151217,PRCP,0,,,N,700
US1CAVT0014,20151218,PRCP,0,,,N,700
US1CAVT0014,20151219,PRCP,0,,,N,700
US1CAVT0014,20151220,PRCP,51,,,N,700
US1CAVT0014,20151221,PRCP,3,,,N,700
US1CAVT0014,20151222,PRCP,48,,,N,700
US1CAVT0014,20151223,PRCP,5,,,N,700
US1CAVT0014,20151224,PRCP,0,,,N,700
US1CAVT0014,20151225,PRCP,0,,,N,700
US1CAVT0014,20151226,PRCP,0,,,N,700
US1CAVT0014,20151227,PRCP,0,,,N,700
US1CAVT0014,20151228,PRCP,0,,,N,700
US1CAVT0014,20151229,PRCP,0,,,N,700
US1CAVT0014,20151230,PRCP,0,,,N,700
US1CAVT0014,20151231,PRCP,0,,,N,700
US1CAVT0014,20160101,PRCP,0,,,N,700
US1CAVT0014,20160102,PRCP,0,,,N,700
US1CAVT0014,20160103,PRCP,0,,,N,700
US1CAVT0014,20160104,PRCP,0,,,N,700
US1CAVT0014,20160105,PRCP,23,,,N,700
US1CAVT0014,20160106,PRCP,180,,,N,700
US1CAVT0014,20160107,PRCP,417,,,N,700
US1CAVT0014,20160108,PRCP,3,,,N,700
US1CAVT0014,20160109,PRCP,0,,,N,700
US1CAVT0014,20160110,PRCP,10,,,N,700
US1CAVT0014,20160111,PRCP,0,,,N,700
US1CAVT0014,20160112,PRCP,0,,,N,700
US1CAVT0014,20160113,PRCP,0,,,N,700
US1CAVT0014,20160114,PRCP,0,,,N,700
US1CAVT0014,20160115,PRCP,0,,,N,700
US1CAVT0014,20160116,PRCP,5,,,N,700
US1CAVT0014,20160117,PRCP,0,,,N,700
US1CAVT0014,20160118,PRCP,5,,,N,700
US1CAVT0014,20160119,PRCP,5,,,N,700
US1CAVT0014,20160120,PRCP,30,,,N,700
US1CAVT0014,20160121,PRCP,0,,,N,700
US1CAVT0014,20160122,PRCP,0,,,N,700
US1CAVT0014,20160123,PRCP,0,,,N,700
US1CAVT0014,20160124,PRCP,0,T,,N,700
US1CAVT0014,20160125,PRCP,0,,,N,700
US1CAVT0014,20160126,PRCP,0,,,N,700
US1CAVT0014,20160127,PRCP,0,,,N,700
US1CAVT0014,20160128,PRCP,0,,,N,700
US1CAVT0014,20160129,PRCP,0,,,N,700
US1CAVT0014,20160130,PRCP,0,,,N,700
US1CAVT0014,20160131,PRCP,8,,,N,700
US1CAVT0014,20160201,PRCP,94,,,N,700
US1CAVT0014,20160202,PRCP,0,,,N,700
US1CAVT0014,20160203,PRCP,0,,,N,700
US1CAVT0014,20160204,PRCP,0,,,N,700
US1CAVT0014,20160205,PRCP,0,,,N,700
US1CAVT0014,20160206,PRCP,0,,,N,700
US1CAVT0014,20160207,PRCP,0,,,N,700
US1CAVT0014,20160208,PRCP,0,,,N,700
US1CAVT0014,20160209,PRCP,0,,,N,700
US1CAVT0014,20160210,PRCP,0,,,N,700
US1CAVT0014,20160211,PRCP,0,,,N,700
US1CAVT0014,20160212,PRCP,0,,,N,700
US1CAVT0014,20160213,PRCP,0,,,N,700
US1CAVT0014,20160214,PRCP,0,,,N,700
US1CAVT0014,20160215,PRCP,0,,,N,700
US1CAVT0014,20160216,PRCP,0,,,N,700
US1CAVT0014,20160217,PRCP,0,,,N,700
US1CAVT0014,20160218,PRCP,107,,,N,700
US1CAVT0014,20160219,PRCP,0,,,N,700
US1CAVT0014,20160220,PRCP,0,,,N,700
US1CAVT0014,20160221,PRCP,0,,,N,700
US1CAVT0014,20160222,PRCP,0,,,N,700
US1CAVT0014,20160223,PRCP,0,,,N,700
US1CAVT0014,20160224,PRCP,0,,,N,700
US1CAVT0014,20160225,PRCP,0,,,N,700
US1CAVT0014,20160226,PRCP,0,,,N,700
US1CAVT0014,20160227,PRCP,0,,,N,700
US1CAVT0014,20160228,PRCP,0,,,N,700
US1CAVT0014,20160229,PRCP,0,,,N,700
US1CAVT0014,20160301,PRCP,0,,,N,700
US1CAVT0014,20160302,PRCP,0,,,N,700
US1CAVT0014,20160303,PRCP,0,,,N,700
US1CAVT0014,20160304,PRCP,0,,,N,700
US1CAVT0014,20160305,PRCP,0,,,N,700
US1CAVT0014,20160306,PRCP,246,,,N,700
US1CAVT0014,20160307,PRCP,107,,,N,700
US1CAVT0014,20160308,PRCP,0,T,,N,700
US1CAVT0014,20160309,PRCP,0,,,N,700
US1CAVT0014,20160310,PRCP,0,,,N,700
US1CAVT0014,20160311,PRCP,0,,,N,700
US1CAVT0014,20160312,PRCP,147,,,N,700
US1CAVT0014,20160313,PRCP,0,,,N,700
US1CAVT0014,20160314,PRCP,3,,,N,700
US1CAVT0014,20160315,PRCP,8,,,N,700
US1CAVT0014,20160316,PRCP,0,,,N,700
US1CAVT0014,20160317,PRCP,0,,,N,700
US1CAVT0014,20160318,PRCP,0,,,N,700
US1CAVT0014,20160319,PRCP,0,,,N,700
US1CAVT0014,20160320,PRCP,0,,,N,700
US1CAVT0014,20160321,PRCP,0,,,N,700
US1CAVT0014,20160322,PRCP,0,,,N,700
US1CAVT0014,20160323,PRCP,0,,,N,700
US1CAVT0014,20160324,PRCP,0,,,N,700
US1CAVT0014,20160325,PRCP,0,,,N,700
US1CAVT0014,20160326,PRCP,0,,,N,700
US1CAVT0014,20160327,PRCP,0,,,N,700
US1CAVT0014,20160328,PRCP,10,,,N,700
US1CAVT0014,20160329,PRCP,0,,,N,700
US1CAVT0014,20160330,PRCP,0,,,N,700
US1CAVT0014,20160331,PRCP,0,,,N,700
US1CAVT0014,20160401,PRCP,0,,,N,700
US1CAVT0014,20160402,PRCP,0,,,N,700
US1CAVT0014,20160403,PRCP,0,,,N,700
US1CAVT0014,20160404,PRCP,0,,,N,700
US1CAVT0014,20160405,PRCP,0,,,N,700
US1CAVT0014,20160406,PRCP,0,,,N,700
US1CAVT0014,20160407,PRCP,0,,,N,700
US1CAVT0014,20160408,PRCP,8,,,N,700
US1CAVT0014,20160409,PRCP,74,,,N,700
US1CAVT0014,20160410,PRCP,71,,,N,700
US1CAVT0014,20160411,PRCP,0,,,N,700
US1CAVT0014,20160412,PRCP,0,,,N,700
US1CAVT0014,20160413,PRCP,0,,,N,700
US1CAVT0014,20160414,PRCP,0,,,N,700
US1CAVT0014,20160415,PRCP,0,,,N,700
US1CAVT0014,20160416,PRCP,0,,,N,700
US1CAVT0014,20160417,PRCP,0,,,N,700
US1CAVT0014,20160418,PRCP,0,,,N,700
US1CAVT0014,20160419,PRCP,0,,,N,700
US1CAVT0014,20160420,PRCP,0,,,N,700
US1CAVT0014,20160421,PRCP,0,,,N,700
US1CAVT0014,20160422,PRCP,0,,,N,700
US1CAVT0014,20160423,PRCP,0,,,N,700
US1CAVT0014,20160424,PRCP,0,,,N,700
US1CAVT0014,20160425,PRCP,0,,,N,700
US1CAVT0014,20160426,PRCP,0,,,N,700
US1CAVT0014,20160427,PRCP,0,,,N,700
US1CAVT0014,20160428,PRCP,0,,,N,700
US1CAVT0014,20160429,PRCP,0,,,N,700
US1CAVT0014,20160430,PRCP,0,,,N,700
US1CAVT0014,20160501,PRCP,0,,,N,700
US1CAVT0014,20160502,PRCP,0,,,N,700
US1CAVT0014,20160503,PRCP,0,,,N,700
US1CAVT0014,20160504,PRCP,0,,,N,700
US1CAVT0014,20160505,PRCP,0,,,N,700
US1CAVT0014,20160506,PRCP,3,,,N,700
US1CAVT0014,20160507,PRCP,8,,,N,700
US1CAVT0014,20160508,PRCP,0,,,N,700
US1CAVT0014,20160509,PRCP,0,,,N,700
US1CAVT0014,20160510,PRCP,0,,,N,700
US1CAVT0014,20160511,PRCP,0,,,N,700
US1CAVT0014,20160512,PRCP,0,,,N,700
US1CAVT0014,20160513,PRCP,0,,,N,700
US1CAVT0014,20160514,PRCP,0,,,N,700
US1CAVT0014,20160515,PRCP,0,,,N,700
